,text,author,sex,period
24,i had been told an angel or a fiend was in there i believed it in the same way one of you might believe there are inhabitants in the planet mars i knew once a scotch sailmaker who was certain dead sure there were people in mars if you asked him for some idea how they looked and behaved he would get shy and mutter something about walking on allfours if you as much as smiled he wouldthough a man of sixtyoffer to fight you i would not have gone so far as to fight for but i went for him near enough to a lie you know i hate detest and cant bear a lie not because i am straighter than the rest of us but simply because it appalls me there is a taint of death a flavour of mortality in lieswhich is exactly what i hate and detest,JosephConrad,male,early_modernism
25,one rivet to be found where it was wanted we had plates that would do but nothing to fasten them with and every week the messenger a long negro letterbag on shoulder and staff in hand left our station for the coast and several times a week a coast caravan came in with trade goodsghastly glazed calico that made you shudder only to look at it glass beads value about a penny a quart confounded spotted cotton handkerchiefs and no rivets three carriers could have brought all that was wanted to set that steamboat afloat he was becoming confidential now but i fancy my unresponsive attitude must have exasperated him at last for he judged it necessary to inform me he feared neither god nor devil let alone any mere man i said i could see that very well but what i wanted was a certain quantity of rivetsand rivets were,JosephConrad,male,early_modernism
26,was disturbed and considerably puzzled which made me feel more hopeful than i had been for days it was a great comfort to turn from that chap to my influential friend the battered twisted ruined tinpot steamboat i clambered on board she rang under my feet like an empty biscuittin kicked along a gutter she was nothing so solid in make and rather less pretty in shape but i had expended enough hard work on her to make me love her no influential friend would have served me better she had given me a chance to come out a bitto find out what i could do no i dont like work i had rather laze about and think of all the fine things that can be done i dont like workno man doesbut i like what is in the workthe chance to find yourself your own realityfor yourself not for otherswhat,JosephConrad,male,early_modernism
27,that station whom the other pilgrims naturally despisedon account of their imperfect manners i suppose this was the foremana boilermaker by tradea good worker he was a lank bony yellowfaced man with big intense eyes his aspect was worried and his head was as bald as the palm of my hand but his hair in falling seemed to have stuck to his chin and had prospered in the new locality for his beard hung down to his waist he was a widower with six young children he had left them in charge of a sister of his to come out there and the passion of his life was pigeonflying he was an enthusiast and a connoisseur he would rave about pigeons after work hours he used sometimes to come over from his hut for a talk about his children and his pigeons at work when he had to crawl in the,JosephConrad,male,early_modernism
28,came out of that hulk and the virgin forest on the other bank of the creek sent it back in a thundering roll upon the sleeping station it must have made some of the pilgrims sit up in their hovels a dark figure obscured the lighted doorway of the managers hut vanished then a second or so after the doorway itself vanished too we stopped and the silence driven away by the stamping of our feet flowed back again from the recesses of the land the great wall of vegetation an exuberant and entangled mass of trunks branches leaves boughs festoons motionless in the moonlight was like a rioting invasion of soundless life a rolling wave of plants piled up crested ready to topple over the creek to sweep every little man of us out of his little existence and it moved not a deadened burst of mighty splashes and snorts,JosephConrad,male,early_modernism
29,was the talk of sordid buccaneers it was reckless without hardihood greedy without audacity and cruel without courage there was not an atom of foresight or of serious intention in the whole batch of them and they did not seem aware these things are wanted for the work of the world to tear treasure out of the bowels of the land was their desire with no more moral purpose at the back of it than there is in burglars breaking into a safe who paid the expenses of the noble enterprise i dont know but the uncle of our manager was leader of that lot in exterior he resembled a butcher in a poor neighbourhood and his eyes had a look of sleepy cunning he carried his fat paunch with ostentation on his short legs and during the time his gang infested the station spoke to no one but his nephew,JosephConrad,male,early_modernism
30,have is it not frightful they both agreed it was frightful then made several bizarre remarks make rain and fine weatherone manthe councilby the nosebits of absurd sentences that got the better of my drowsiness so that i had pretty near the whole of my wits about me when the uncle said the climate may do away with this difficulty for you is he alone there yes answered the manager he sent his assistant down the river with a note to me in these terms clear this poor devil out of the country and dont bother sending more of that sort i had rather be alone than have the kind of men you can dispose of with me it was more than a year ago can you imagine such impudence anything since then asked the other hoarsely ivory jerked the nephew lots of itprime sortlotsmost annoying from him and with that,JosephConrad,male,early_modernism
31,though i had expected an answer of some sort to that black display of confidence you know the foolish notions that come to one sometimes the high stillness confronted these two figures with its ominous patience waiting for the passing away of a fantastic invasion they swore aloud togetherout of sheer fright i believethen pretending not to know anything of my existence turned back to the station the sun was low and leaning forward side by side they seemed to be tugging painfully uphill their two ridiculous shadows of unequal length that trailed behind them slowly over the tall grass without bending a single blade in a few days the expedition went into the patient wilderness that closed upon it as the sea closes over a diver long afterwards the news came that all the donkeys were dead i know nothing as to the fate of the less valuable animals they,JosephConrad,male,early_modernism
32,a tumble try to be civil growled a voice and i knew there was at least one listener awake besides myself i beg your pardon i forgot the heartache which makes up the rest of the price and indeed what does the price matter if the trick be well done you do your tricks very well and i didnt do badly either since i managed not to sink that steamboat on my first trip its a wonder to me yet imagine a blindfolded man set to drive a van over a bad road i sweated and shivered over that business considerably i can tell you after all for a seaman to scrape the bottom of the thing thats supposed to float all the time under his care is the unpardonable sin no one may know of it but you never forget the thumpeh a blow on the very heart you remember,JosephConrad,male,early_modernism
33,as if the forest had stepped leisurely across the water to bar the way for our return we penetrated deeper and deeper into the heart of darkness it was very quiet there at night sometimes the roll of drums behind the curtain of trees would run up the river and remain sustained faintly as if hovering in the air high over our heads till the first break of day whether it meant war peace or prayer we could not tell the dawns were heralded by the descent of a chill stillness the woodcutters slept their fires burned low the snapping of a twig would make you start we were wanderers on a prehistoric earth on an earth that wore the aspect of an unknown planet we could have fancied ourselves the first of men taking possession of an accursed inheritance to be subdued at the cost of profound anguish and of,JosephConrad,male,early_modernism
34,howl and a dance well noi didnt fine sentiments you say fine sentiments be hanged i had no time i had to mess about with whitelead and strips of woolen blanket helping to put bandages on those leaky steampipesi tell you i had to watch the steering and circumvent those snags and get the tinpot along by hook or by crook there was surfacetruth enough in these things to save a wiser man and between whiles i had to look after the savage who was fireman he was an improved specimen he could fire up a vertical boiler he was there below me and upon my word to look at him was as edifying as seeing a dog in a parody of breeches and a feather hat walking on his hindlegs a few months of training had done for that really fine chap he squinted at the steamgauge and at the,JosephConrad,male,early_modernism
35,i lifted my eyes i saw the woodpile was gone and the manager aided by all the pilgrims was shouting at me from the riverside i slipped the book into my pocket i assure you to leave off reading was like tearing myself away from the shelter of an old and solid friendship i started the lame engine ahead it must be this miserable traderthis intruder exclaimed the manager looking back malevolently at the place we had left he must be english i said it will not save him from getting into trouble if he is not careful muttered the manager darkly i observed with assumed innocence that no man was safe from trouble in this world the current was more rapid now the steamer seemed at her last gasp the sternwheel flopped languidly and i caught myself listening on tiptoe for the next beat of the boat for in sober,JosephConrad,male,early_modernism
36,chain which we had begun to heave in to be paid out again before it stopped running with a muffled rattle a cry a very loud cry as of infinite desolation soared slowly in the opaque air it ceased a complaining clamour modulated in savage discords filled our ears the sheer unexpectedness of it made my hair stir under my cap i dont know how it struck the others to me it seemed as though the mist itself had screamed so suddenly and apparently from all sides at once did this tumultuous and mournful uproar arise it culminated in a hurried outbreak of almost intolerably excessive shrieking which stopped short leaving us stiffened in a variety of silly attitudes and obstinately listening to the nearly as appalling and excessive silence good god what is the meaning stammered at my elbow one of the pilgrimsa little fat man with sandy hair and,JosephConrad,male,early_modernism
37,expression but their faces were essentially quiet even those of the one or two who grinned as they hauled at the chain several exchanged short grunting phrases which seemed to settle the matter to their satisfaction their headman a young broadchested black severely draped in darkblue fringed cloths with fierce nostrils and his hair all done up artfully in oily ringlets stood near me aha i said just for good fellowships sake catch im he snapped with a bloodshot widening of his eyes and a flash of sharp teethcatch im give im to us to you eh i asked what would you do with them eat im he said curtly and leaning his elbow on the rail looked out into the fog in a dignified and profoundly pensive attitude i would no doubt have been properly horrified had it not occurred to me that he and his chaps must be very,JosephConrad,male,early_modernism
38,belonged to the beginnings of timehad no inherited experience to teach them as it were and of course as long as there was a piece of paper written over in accordance with some farcical law or other made down the river it didnt enter anybodys head to trouble how they would live certainly they had brought with them some rotten hippomeat which couldnt have lasted very long anyway even if the pilgrims hadnt in the midst of a shocking hullabaloo thrown a considerable quantity of it overboard it looked like a highhanded proceeding but it was really a case of legitimate selfdefence you cant breathe dead hippo waking sleeping and eating and at the same time keep your precarious grip on existence besides that they had given them every week three pieces of brass wire each about nine inches long and the theory was they were to buy their provisions with,JosephConrad,male,early_modernism
39,know the devilry of lingering starvation its exasperating torment its black thoughts its sombre and brooding ferocity well i do it takes a man all his inborn strength to fight hunger properly its really easier to face bereavement dishonour and the perdition of ones soulthan this kind of prolonged hunger sad but true and these chaps too had no earthly reason for any kind of scruple restraint i would just as soon have expected restraint from a hyena prowling amongst the corpses of a battlefield but there was the fact facing methe fact dazzling to be seen like the foam on the depths of the sea like a ripple on an unfathomable enigma a mystery greaterwhen i thought of itthan the curious inexplicable note of desperate grief in this savage clamour that had swept by us on the riverbank behind the blind whiteness of the fog two pilgrims were quarrelling in,JosephConrad,male,early_modernism
40,we were sure to perish speedily in one way or another i authorize you to take all the risks he said after a short silence i refuse to take any i said shortly which was just the answer he expected though its tone might have surprised him well i must defer to your judgment you are captain he said with marked civility i turned my shoulder to him in sign of my appreciation and looked into the fog how long would it last it was the most hopeless lookout the approach to this grubbing for ivory in the wretched bush was beset by as many dangers as though he had been an enchanted princess sleeping in a fabulous castle will they attack do you think asked the manager in a confidential tone i did not think they would attack for several obvious reasons the thick fog was one if they left,JosephConrad,male,early_modernism
41,a regular lecture my dear boys it was no good bothering keep a lookout well you may guess i watched the fog for the signs of lifting as a cat watches a mouse but for anything else our eyes were of no more use to us than if we had been buried miles deep in a heap of cottonwool it felt like it toochoking warm stifling besides all i said though it sounded extravagant was absolutely true to fact what we afterwards alluded to as an attack was really an attempt at repulse the action was very far from being aggressiveit was not even defensive in the usual sense it was undertaken under the stress of desperation and in its essence was purely protective it developed itself i should say two hours after the fog lifted and its commencement was at a spot roughly speaking about a mile and a half,JosephConrad,male,early_modernism
42,fairly entered it than i became aware it was much narrower than i had supposed to the left of us there was the long uninterrupted shoal and to the right a high steep bank heavily overgrown with bushes above the bush the trees stood in serried ranks the twigs overhung the current thickly and from distance to distance a large limb of some tree projected rigidly over the stream it was then well on in the afternoon the face of the forest was gloomy and a broad strip of shadow had already fallen on the water in this shadow we steamed upvery slowly as you may imagine i sheered her well inshorethe water being deepest near the bank as the soundingpole informed me one of my hungry and forbearing friends was sounding in the bows just below me this steamboat was exactly like a decked scow on the deck there were,JosephConrad,male,early_modernism
43,a wide door in front and a broad shutter at each side all these were always thrown open of course i spent my days perched up there on the extreme foreend of that roof before the door at night i slept or tried to on the couch an athletic black belonging to some coast tribe and educated by my poor predecessor was the helmsman he sported a pair of brass earrings wore a blue cloth wrapper from the waist to the ankles and thought all the world of himself he was the most unstable kind of fool i had ever seen he steered with no end of a swagger while you were by but if he lost sight of you he became instantly the prey of an abject funk and would let that cripple of a steamboat get the upper hand of him in a minute i was looking down at,JosephConrad,male,early_modernism
44,poleman give up on the business suddenly and stretch himself flat on the deck without even taking the trouble to haul his pole in he kept hold on it though and it trailed in the water at the same time the fireman whom i could also see below me sat down abruptly before his furnace and ducked his head i was amazed then i had to look at the river mighty quick because there was a snag in the fairway sticks little sticks were flying aboutthick they were whizzing before my nose dropping below me striking behind me against my pilothouse all this time the river the shore the woods were very quietperfectly quiet i could only hear the heavy splashing thump of the sternwheel and the patter of these things we cleared the snag clumsily arrows by jove we were being shot at i stepped in quickly to close the,JosephConrad,male,early_modernism
45,profound familiar manner and fell upon my feet the side of his head hit the wheel twice and the end of what appeared a long cane clattered round and knocked over a little campstool it looked as though after wrenching that thing from somebody ashore he had lost his balance in the effort the thin smoke had blown away we were clear of the snag and looking ahead i could see that in another hundred yards or so i would be free to sheer off away from the bank but my feet felt so very warm and wet that i had to look down the man had rolled on his back and stared straight up at me both his hands clutched that cane it was the shaft of a spear that either thrown or lunged through the opening had caught him in the side just below the ribs the blade had,JosephConrad,male,early_modernism
46,action hadnt i been told in all the tones of jealousy and admiration that he had collected bartered swindled or stolen more ivory than all the other agents together that was not the point the point was in his being a gifted creature and that of all his gifts the one that stood out preeminently that carried with it a sense of real presence was his ability to talk his wordsthe gift of expression the bewildering the illuminating the most exalted and the most contemptible the pulsating stream of light or the deceitful flow from the heart of an impenetrable darkness the other shoe went flying unto the devilgod of that river i thought by jove its all over we are too late he has vanishedthe gift has vanished by means of some spear arrow or club i will never hear that chap speak after alland my sorrow had a startling,JosephConrad,male,early_modernism
47,simply mean without any kind of sense voices voiceseven the girl herselfnow he was silent for a long time i laid the ghost of his gifts at last with a lie he began suddenly girl what did i mention a girl oh she is out of itcompletely theythe women i meanare out of itshould be out of it we must help them to stay in that beautiful world of their own lest ours gets worse oh she had to be out of it you should have heard the disinterred body of mr saying my intended you would have perceived directly then how completely she was out of it and the lofty frontal bone of mr they say the hair goes on growing sometimes but thisahspecimen was impressively bald the wilderness had patted him on the head and behold it was like a ballan ivory ball it had caressed him andlohe had,JosephConrad,male,early_modernism
48,him to the last you should have heard him say my ivory oh yes i heard him my intended my ivory my station my river my everything belonged to him it made me hold my breath in expectation of hearing the wilderness burst into a prodigious peal of laughter that would shake the fixed stars in their places everything belonged to himbut that was a trifle the thing was to know what he belonged to how many powers of darkness claimed him for their own that was the reflection that made you creepy all over it was impossibleit was not good for one eithertrying to imagine he had taken a high seat amongst the devils of the landi mean literally you cant understand how could youwith solid pavement under your feet surrounded by kind neighbours ready to cheer you or to fall on you stepping delicately between the butcher and the,JosephConrad,male,early_modernism
49,gallows and lunatic asylumshow can you imagine what particular region of the first ages a mans untrammelled feet may take him into by the way of solitudeutter solitude without a policemanby the way of silenceutter silence where no warning voice of a kind neighbour can be heard whispering of public opinion these little things make all the great difference when they are gone you must fall back upon your own innate strength upon your own capacity for faithfulness of course you may be too much of a fool to go wrongtoo dull even to know you are being assaulted by the powers of darkness i take it no fool ever made a bargain for his soul with the devil the fool is too much of a fool or the devil too much of a devili dont know which or you may be such a thunderingly exalted creature as to be altogether,JosephConrad,male,early_modernism
50,that theres the curse of travelling worries about making train connections bad and irregular food contact with different people all the time so that you can never get to know anyone or become friendly with them it can all go to hell he felt a slight itch up on his belly pushed himself slowly up on his back towards the headboard so that he could lift his head better found where the itch was and saw that it was covered with lots of little white spots which he didnt know what to make of and when he tried to feel the place with one of his legs he drew it quickly back because as soon as he touched it he was overcome by a cold shudder he slid back into his former position getting up early all the time he thought it makes you stupid youve got to get enough sleep,FranzKafka,male,early_modernism
51,my parents to think about id have given in my notice a long time ago id have gone up to the boss and told him just what i think tell him everything i would let him know just what i feel hed fall right off his desk and its a funny sort of business to be sitting up there at your desk talking down at your subordinates from up there especially when you have to go right up close because the boss is hard of hearing well theres still some hope once ive got the money together to pay off my parents debt to him another five or six years i suppose thats definitely what ill do thats when ill make the big change first of all though ive got to get up my train leaves at five and he looked over at the alarm clock ticking on the chest of,FranzKafka,male,early_modernism
52,long feel completely well and even felt much hungrier than usual he was still hurriedly thinking all this through unable to decide to get out of the bed when the clock struck quarter to seven there was a cautious knock at the door near his head somebody called it was his mother its quarter to seven didnt you want to go somewhere that gentle voice was shocked when he heard his own voice answering it could hardly be recognised as the voice he had had before as if from deep inside him there was a painful and uncontrollable squeaking mixed in with it the words could be made out at first but then there was a sort of echo which made them unclear leaving the hearer unsure whether he had heard properly or not had wanted to give a full answer and explain everything but in the circumstances contented himself with,FranzKafka,male,early_modernism
53,used his arms and his hands to push himself up but instead of them he only had all those little legs continuously moving in different directions and which he was moreover unable to control if he wanted to bend one of them then that was the first one that would stretch itself out and if he finally managed to do what he wanted with that leg all the others seemed to be set free and would move about painfully this is something that cant be done in bed said to himself so dont keep trying to do it the first thing he wanted to do was get the lower part of his body out of the bed but he had never seen this lower part and could not imagine what it looked like it turned out to be too hard to move it went so slowly and finally almost in a,FranzKafka,male,early_modernism
