,text,author,sex,period
10,might not cast a second glance upon the figure but with more feeling and discernment he would have recognized the noble beauty of its modeling and the graceful severity of poise and movement which made edna pontellier different from the crowd she wore a cool muslin that morningwhite with a waving vertical line of brown running through it also a white linen collar and the big straw hat which she had taken from the peg outside the door the hat rested any way on her yellowbrown hair that waved a little was heavy and clung close to her head madame ratignolle more careful of her complexion had twined a gauze veil about her head she wore dogskin gloves with gauntlets that protected her wrists she was dressed in pure white with a fluffiness of ruffles that became her the draperies and fluttering things which she wore suited her rich luxuriant beauty,KateChopin,female,realism
11,the reply we make instinctively to such a question let me see she went on throwing back her head and narrowing her fine eyes till they shone like two vivid points of light let me see i was really not conscious of thinking of anything but perhaps i can retrace my thoughts oh never mind laughed madame ratignolle i am not quite so exacting i will let you off this time it is really too hot to think especially to think about thinking but for the fun of it persisted edna first of all the sight of the water stretching so far away those motionless sails against the blue sky made a delicious picture that i just wanted to sit and look at the hot wind beating in my face made me thinkwithout any connection that i can trace of a summer day in kentucky of a meadow that seemed as,KateChopin,female,realism
12,father in kentucky she could not leave his presence when he was there nor remove her eyes from his face which was something like napoleons with a lock of black hair failing across the forehead but the cavalry officer melted imperceptibly out of her existence at another time her affections were deeply engaged by a young gentleman who visited a lady on a neighboring plantation it was after they went to mississippi to live the young man was engaged to be married to the young lady and they sometimes called upon margaret driving over of afternoons in a buggy edna was a little miss just merging into her teens and the realization that she herself was nothing nothing nothing to the engaged young man was a bitter affliction to her but he too went the way of dreams she was a grown young woman when she was overtaken by what she,KateChopin,female,realism
13,them passionately to her heart she would sometimes forget them the year before they had spent part of the summer with their grandmother pontellier in iberville feeling secure regarding their happiness and welfare she did not miss them except with an occasional intense longing their absence was a sort of relief though she did not admit this even to herself it seemed to free her of a responsibility which she had blindly assumed and for which fate had not fitted her edna did not reveal so much as all this to madame ratignolle that summer day when they sat with faces turned to the sea but a good part of it escaped her she had put her head down on madame ratignolles shoulder she was flushed and felt intoxicated with the sound of her own voice and the unaccustomed taste of candor it muddled her like wine or like a first,KateChopin,female,realism
14,heated outburst you are not thinking of what you are saying you speak with about as little reflection as we might expect from one of those children down there playing in the sand if your attentions to any married women here were ever offered with any intention of being convincing you would not be the gentleman we all know you to be and you would be unfit to associate with the wives and daughters of the people who trust you madame ratignolle had spoken what she believed to be the law and the gospel the young man shrugged his shoulders impatiently oh well that isnt it slamming his hat down vehemently upon his head you ought to feel that such things are not flattering to say to a fellow should our whole intercourse consist of an exchange of compliments ma foi it isnt pleasant to have a woman tell you he,KateChopin,female,realism
15,of one of the dormer windows he took a book from his pocket and began energetically to read it judging by the precision and frequency with which he turned the leaves the sewingmachine made a resounding clatter in the room it was of a ponderous bygone make in the lulls robert and his mother exchanged bits of desultory conversation where is mrs pontellier down at the beach with the children i promised to lend her the goncourt dont forget to take it down when you go its there on the bookshelf over the small table clatter clatter clatter bang for the next five or eight minutes where is victor going with the rockaway the rockaway victor yes down there in front he seems to be getting ready to drive away somewhere call him clatter clatter robert uttered a shrill piercing whistle which might have been heard back at the wharf he,KateChopin,female,realism
16,two were the entertainments furnished or rather offered but there was nothing systematic about the programme no appearance of prearrangement nor even premeditation at an early hour in the evening the farival twins were prevailed upon to play the piano they were girls of fourteen always clad in the virgins colors blue and white having been dedicated to the blessed virgin at their baptism they played a duet from zampa and at the earnest solicitation of every one present followed it with the overture to the poet and the peasant allez vousen sapristi shrieked the parrot outside the door he was the only being present who possessed sufficient candor to admit that he was not listening to these gracious performances for the first time that summer old monsieur farival grandfather of the twins grew indignant over the interruption and insisted upon having the bird removed and consigned to regions of darkness,KateChopin,female,realism
17,out of her room and at intervals objecting to the crying of a baby which a nurse in the adjoining cottage was endeavoring to put to sleep she was a disagreeable little woman no longer young who had quarreled with almost every one owing to a temper which was selfassertive and a disposition to trample upon the rights of others robert prevailed upon her without any too great difficulty she entered the hall with him during a lull in the dance she made an awkward imperious little bow as she went in she was a homely woman with a small weazened face and body and eyes that glowed she had absolutely no taste in dress and wore a batch of rusty black lace with a bunch of artificial violets pinned to the side of her hair ask mrs pontellier what she would like to hear me play she requested of robert,KateChopin,female,realism
18,mornings when madame ratignolle played or practiced one piece which that lady played edna had entitled solitude it was a short plaintive minor strain the name of the piece was something else but she called it solitude when she heard it there came before her imagination the figure of a man standing beside a desolate rock on the seashore he was naked his attitude was one of hopeless resignation as he looked toward a distant bird winging its flight away from him another piece called to her mind a dainty young woman clad in an empire gown taking mincing dancing steps as she came down a long avenue between tall hedges again another reminded her of children at play and still another of nothing on earth but a demure lady stroking a cat the very first chords which mademoiselle reisz struck upon the piano sent a keen tremor down mrs pontelliers,KateChopin,female,realism
19,sun on a cloudy day without having thought much about the sun when it was shining the people walked in little groups toward the beach they talked and laughed some of them sang there was a band playing down at kleins hotel and the strains reached them faintly tempered by the distance there were strange rare odors abroada tangle of the sea smell and of weeds and damp newplowed earth mingled with the heavy perfume of a field of white blossoms somewhere near but the night sat lightly upon the sea and the land there was no weight of darkness there were no shadows the white light of the moon had fallen upon the world like the mystery and the softness of sleep most of them walked into the water as though into a native element the sea was quiet now and swelled lazily in broad billows that melted into one,KateChopin,female,realism
20,she asked him without a shade of annoyance no i knew you werent afraid then why did you come why didnt you stay out there with the others i never thought of it thought of what of anything what difference does it make im very tired she uttered complainingly i know you are you dont know anything about it why should you know i never was so exhausted in my life but it isnt unpleasant a thousand emotions have swept through me tonight i dont comprehend half of them dont mind what im saying i am just thinking aloud i wonder if i shall ever be stirred again as mademoiselle reiszs playing moved me tonight i wonder if any night on earth will ever again be like this one it is like a night in a dream the people about me are like some uncanny halfhuman beings there must be spirits,KateChopin,female,realism
21,not put it around her did you say i should stay till mr pontellier came back i said you might if you wished to he seated himself again and rolled a cigarette which he smoked in silence neither did mrs pontellier speak no multitude of words could have been more significant than those moments of silence or more pregnant with the firstfelt throbbings of desire when the voices of the bathers were heard approaching robert said goodnight she did not answer him he thought she was asleep again she watched his figure pass in and out of the strips of moonlight as he walked away xi what are you doing out here edna i thought i should find you in bed said her husband when he discovered her lying there he had walked up with madame lebrun and left her at the house his wife did not reply are you asleep,KateChopin,female,realism
22,cigars then he went inside and drank another glass of wine mrs pontellier again declined to accept a glass when it was offered to her mr pontellier once more seated himself with elevated feet and after a reasonable interval of time smoked some more cigars edna began to feel like one who awakens gradually out of a dream a delicious grotesque impossible dream to feel again the realities pressing into her soul the physical need for sleep began to overtake her the exuberance which had sustained and exalted her spirit left her helpless and yielding to the conditions which crowded her in the stillest hour of the night had come the hour before dawn when the world seems to hold its breath the moon hung low and had turned from silver to copper in the sleeping sky the old owl no longer hooted and the wateroaks had ceased to moan as,KateChopin,female,realism
23,it tasted good she had not thought of coffee nor of anything he told her he had often noticed that she lacked forethought wasnt it enough to think of going to the cheniere and waking you up she laughed do i have to think of everythingas leonce says when hes in a bad humor i dont blame him hed never be in a bad humor if it werent for me they took a short cut across the sands at a distance they could see the curious procession moving toward the wharfthe lovers shoulder to shoulder creeping the lady in black gaining steadily upon them old monsieur farival losing ground inch by inch and a young barefooted spanish girl with a red kerchief on her head and a basket on her arm bringing up the rear robert knew the girl and he talked to her a little in the boat no one,KateChopin,female,realism
24,pretty black eyes and back again why does she look at me like that inquired the girl of robert maybe she thinks you are pretty shall i ask her no is she your sweetheart shes a married lady and has two children oh well francisco ran away with sylvanos wife who had four children they took all his money and one of the children and stole his boat shut up does she understand oh hush are those two married over thereleaning on each other of course not laughed robert of course not echoed mariequita with a serious confirmatory bob of the head the sun was high up and beginning to bite the swift breeze seemed to edna to bury the sting of it into the pores of her face and hands robert held his umbrella over her as they went cutting sidewise through the water the sails bellied taut with the,KateChopin,female,realism
25,up from her forehead i couldnt have stayed through the service they were outside in the shadow of the church robert was full of solicitude it was folly to have thought of going in the first place let alone staying come over to madame antoines you can rest there he took her arm and led her away looking anxiously and continuously down into her face how still it was with only the voice of the sea whispering through the reeds that grew in the saltwater pools the long line of little gray weatherbeaten houses nestled peacefully among the orange trees it must always have been gods day on that low drowsy island edna thought they stopped leaning over a jagged fence made of seadrift to ask for water a youth a mildfaced acadian was drawing water from the cistern which was nothing more than a rusty buoy with an opening on,KateChopin,female,realism
26,antoines cot was at the far end of the village she welcomed them with all the native hospitality as she would have opened her door to let the sunlight in she was fat and walked heavily and clumsily across the floor she could speak no english but when robert made her understand that the lady who accompanied him was ill and desired to rest she was all eagerness to make edna feel at home and to dispose of her comfortably the whole place was immaculately clean and the big fourposted bed snowwhite invited one to repose it stood in a small side room which looked out across a narrow grass plot toward the shed where there was a disabled boat lying keel upward madame antoine had not gone to mass her son tonie had but she supposed he would soon be back and she invited robert to be seated and wait,KateChopin,female,realism
27,fine firm quality and texture of her flesh she clasped her hands easily above her head and it was thus she fell asleep she slept lightly at first half awake and drowsily attentive to the things about her she could hear madame antoines heavy scraping tread as she walked back and forth on the sanded floor some chickens were clucking outside the windows scratching for bits of gravel in the grass later she half heard the voices of robert and tonie talking under the shed she did not stir even her eyelids rested numb and heavily over her sleepy eyes the voices went ontonies slow acadian drawl roberts quick soft smooth french she understood french imperfectly unless directly addressed and the voices were only part of the other drowsy muffled sounds lulling her senses when edna awoke it was with the conviction that she had slept long and soundly the voices,KateChopin,female,realism
28,which he had procured for her shall we go right away she asked after draining her glass and brushing together the crumbs of the crusty loaf the sun isnt as low as it will be in two hours he answered the sun will be gone in two hours well let it go who cares they waited a good while under the orange trees till madame antoine came back panting waddling with a thousand apologies to explain her absence tonie did not dare to return he was shy and would not willingly face any woman except his mother it was very pleasant to stay there under the orange trees while the sun dipped lower and lower turning the western sky to flaming copper and gold the shadows lengthened and crept out like stealthy grotesque monsters across the grass edna and robert both sat upon the groundthat is he lay upon the ground,KateChopin,female,realism
29,with edna for monsieur ratignolle was alone and he detested above all things to be left alone when etienne had fallen asleep edna bore him into the back room and robert went and lifted the mosquito bar that she might lay the child comfortably in his bed the quadroon had vanished when they emerged from the cottage robert bade edna goodnight do you know we have been together the whole livelong day robertsince early this morning she said at parting all but the hundred years when you were sleeping goodnight he pressed her hand and went away in the direction of the beach he did not join any of the others but walked alone toward the gulf edna stayed outside awaiting her husbands return she had no desire to sleep or to retire nor did she feel like going over to sit with the ratignolles or to join madame lebrun and,KateChopin,female,realism
30,the pretext of a smile as he returned her glance he looked embarrassed and uneasy when is he going she asked of everybody in general as if robert were not there to answer for himself tonight this very evening did you ever what possesses him were some of the replies she gathered uttered simultaneously in french and english impossible she exclaimed how can a person start off from grand isle to mexico at a moments notice as if he were going over to kleins or to the wharf or down to the beach i said all along i was going to mexico ive been saying so for years cried robert in an excited and irritable tone with the air of a man defending himself against a swarm of stinging insects madame lebrun knocked on the table with her knife handle please let robert explain why he is going and why he,KateChopin,female,realism
31,some gentleman on the stage she had forced herself to eat most of her soup and now she was picking the flaky bits of a court bouillon with her fork the lovers were profiting by the general conversation on mexico to speak in whispers of matters which they rightly considered were interesting to no one but themselves the lady in black had once received a pair of prayerbeads of curious workmanship from mexico with very special indulgence attached to them but she had never been able to ascertain whether the indulgence extended outside the mexican border father fochel of the cathedral had attempted to explain it but he had not done so to her satisfaction and she begged that robert would interest himself and discover if possible whether she was entitled to the indulgence accompanying the remarkably curious mexican prayerbeads madame ratignolle hoped that robert would exercise extreme caution in dealing,KateChopin,female,realism
32,with unusual energy then she went in and assisted the quadroon in getting the boys to bed they were very playful and inclined to talkto do anything but lie quiet and go to sleep edna sent the quadroon away to her supper and told her she need not return then she sat and told the children a story instead of soothing it excited them and added to their wakefulness she left them in heated argument speculating about the conclusion of the tale which their mother promised to finish the following night the little black girl came in to say that madame lebrun would like to have mrs pontellier go and sit with them over at the house till mr robert went away edna returned answer that she had already undressed that she did not feel quite well but perhaps she would go over to the house later she started to dress,KateChopin,female,realism
33,ill humor she said but cant you understand ive grown used to seeing you to having you with me all the time and your action seems unfriendly even unkind you dont even offer an excuse for it why i was planning to be together thinking of how pleasant it would be to see you in the city next winter so was i he blurted perhaps thats the he stood up suddenly and held out his hand goodby my dear mrs pontellier goodby you wonti hope you wont completely forget me she clung to his hand striving to detain him write to me when you get there wont you robert she entreated i will thank you goodby how unlike robert the merest acquaintance would have said something more emphatic than i will thank you goodby to such a request he had evidently already taken leave of the people over at the house,KateChopin,female,realism
34,awakened being demanded xvi do you miss your friend greatly asked mademoiselle reisz one morning as she came creeping up behind edna who had just left her cottage on her way to the beach she spent much of her time in the water since she had acquired finally the art of swimming as their stay at grand isle drew near its close she felt that she could not give too much time to a diversion which afforded her the only real pleasurable moments that she knew when mademoiselle reisz came and touched her upon the shoulder and spoke to her the woman seemed to echo the thought which was ever in ednas mind or better the feeling which constantly possessed her roberts going had some way taken the brightness the color the meaning out of everything the conditions of her life were in no way changed but her whole existence was,KateChopin,female,realism
35,on carondelet street in the morning they had gone in and had a drink and a cigar together what had they talked about chiefly about his prospects in mexico which mr pontellier thought were promising how did he look how did he seemgrave or gay or how quite cheerful and wholly taken up with the idea of his trip which mr pontellier found altogether natural in a young fellow about to seek fortune and adventure in a strange queer country edna tapped her foot impatiently and wondered why the children persisted in playing in the sun when they might be under the trees she went down and led them out of the sun scolding the quadroon for not being more attentive it did not strike her as in the least grotesque that she should be making of robert the object of conversation and leading her husband to speak of him the,KateChopin,female,realism
36,of struggles they belonged to her and were her own and she entertained the conviction that she had a right to them and that they concerned no one but herself edna had once told madame ratignolle that she would never sacrifice herself for her children or for any one then had followed a rather heated argument the two women did not appear to understand each other or to be talking the same language edna tried to appease her friend to explain i would give up the unessential i would give my money i would give my life for my children but i wouldnt give myself i cant make it more clear its only something which i am beginning to comprehend which is revealing itself to me i dont know what you would call the essential or what you mean by the unessential said madame ratignolle cheerfully but a woman who would,KateChopin,female,realism
37,so insulting and abusive that robert gave him a thrashing on the spot that has kept him comparatively in order for a good while its about time he was getting another was her name mariequita asked edna mariequitayes that was it mariequita i had forgotten oh shes a sly one and a bad one that mariequita edna looked down at mademoiselle reisz and wondered how she could have listened to her venom so long for some reason she felt depressed almost unhappy she had not intended to go into the water but she donned her bathing suit and left mademoiselle alone seated under the shade of the childrens tent the water was growing cooler as the season advanced edna plunged and swam about with an abandon that thrilled and invigorated her she remained a long time in the water half hoping that mademoiselle reisz would not wait for her but mademoiselle,KateChopin,female,realism
38,out edna whom did you have many callers he asked he tasted his soup and began to season it with pepper salt vinegar mustardeverything within reach there were a good many replied edna who was eating her soup with evident satisfaction i found their cards when i got home i was out out exclaimed her husband with something like genuine consternation in his voice as he laid down the vinegar cruet and looked at her through his glasses why what could have taken you out on tuesday what did you have to do nothing i simply felt like going out and i went out well i hope you left some suitable excuse said her husband somewhat appeased as he added a dash of cayenne pepper to the soup no i left no excuse i told joe to say i was out that was all why my dear i should think youd,KateChopin,female,realism
39,procure at least one meal a day which a man could eat and retain his selfrespect you used to think the cook was a treasure returned edna indifferently perhaps she was when she first came but cooks are only human they need looking after like any other class of persons that you employ suppose i didnt look after the clerks in my office just let them run things their own way theyd soon make a nice mess of me and my business where are you going asked edna seeing that her husband arose from table without having eaten a morsel except a taste of the highlyseasoned soup im going to get my dinner at the club good night he went into the hall took his hat and stick from the stand and left the house she was somewhat familiar with such scenes they had often made her very unhappy on a,KateChopin,female,realism
40,new fixtures for the library i hardly think we need new fixtures leonce dont let us get anything new you are too extravagant i dont believe you ever think of saving or putting by the way to become rich is to make money my dear edna not to save it he said he regretted that she did not feel inclined to go with him and select new fixtures he kissed her goodby and told her she was not looking well and must take care of herself she was unusually pale and very quiet she stood on the front veranda as he quitted the house and absently picked a few sprays of jessamine that grew upon a trellis near by she inhaled the odor of the blossoms and thrust them into the bosom of her white morning gown the boys were dragging along the banquette a small express wagon which they had,KateChopin,female,realism
41,of speaking to the cook concerning her blunders of the previous night but mr pontellier had saved her that disagreeable mission for which she was so poorly fitted mr pontelliers arguments were usually convincing with those whom he employed he left home feeling quite sure that he and edna would sit down that evening and possibly a few subsequent evenings to a dinner deserving of the name edna spent an hour or two in looking over some of her old sketches she could see their shortcomings and defects which were glaring in her eyes she tried to work a little but found she was not in the humor finally she gathered together a few of the sketchesthose which she considered the least discreditable and she carried them with her when a little later she dressed and left the house she looked handsome and distinguished in her street gown the tan of,KateChopin,female,realism
42,and clearheadedness his family lived in commodious apartments over the store having an entrance on the side within the porte cochere there was something which edna thought very french very foreign about their whole manner of living in the large and pleasant salon which extended across the width of the house the ratignolles entertained their friends once a fortnight with a soiree musicale sometimes diversified by cardplaying there was a friend who played upon the cello one brought his flute and another his violin while there were some who sang and a number who performed upon the piano with various degrees of taste and agility the ratignolles soirees musicales were widely known and it was considered a privilege to be invited to them edna found her friend engaged in assorting the clothes which had returned that morning from the laundry she at once abandoned her occupation upon seeing edna who had,KateChopin,female,realism
43,as at grand isle and he advised a tonic he talked a good deal on various topics a little politics some city news and neighborhood gossip he spoke with an animation and earnestness that gave an exaggerated importance to every syllable he uttered his wife was keenly interested in everything he said laying down her fork the better to listen chiming in taking the words out of his mouth edna felt depressed rather than soothed after leaving them the little glimpse of domestic harmony which had been offered her gave her no regret no longing it was not a condition of life which fitted her and she could see in it but an appalling and hopeless ennui she was moved by a kind of commiseration for madame ratignollea pity for that colorless existence which never uplifted its possessor beyond the region of blind contentment in which no moment of anguish ever,KateChopin,female,realism
44,called upon her she made no ineffectual efforts to conduct her household en bonne menagere going and coming as it suited her fancy and so far as she was able lending herself to any passing caprice mr pontellier had been a rather courteous husband so long as he met a certain tacit submissiveness in his wife but her new and unexpected line of conduct completely bewildered him it shocked him then her absolute disregard for her duties as a wife angered him when mr pontellier became rude edna grew insolent she had resolved never to take another step backward it seems to me the utmost folly for a woman at the head of a household and the mother of children to spend in an atelier days which would be better employed contriving for the comfort of her family i feel like painting answered edna perhaps i shant always feel like it,KateChopin,female,realism
45,of what then oh i dont know let me alone you bother me it sometimes entered mr pontelliers mind to wonder if his wife were not growing a little unbalanced mentally he could see plainly that she was not herself that is he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world her husband let her alone as she requested and went away to his office edna went up to her ateliera bright room in the top of the house she was working with great energy and interest without accomplishing anything however which satisfied her even in the smallest degree for a time she had the whole household enrolled in the service of art the boys posed for her they thought it amusing at first but the occupation soon lost its attractiveness,KateChopin,female,realism
46,when it suddenly occurred to her that madame lebrun would be the one most likely to do so she knew it was useless to ask madame ratignolle who was on the most distant terms with the musician and preferred to know nothing concerning her she had once been almost as emphatic in expressing herself upon the subject as the corner grocer edna knew that madame lebrun had returned to the city for it was the middle of november and she also knew where the lebruns lived on chartres street their home from the outside looked like a prison with iron bars before the door and lower windows the iron bars were a relic of the old regime and no one had ever thought of dislodging them at the side was a high fence enclosing the garden a gate or door opening upon the street was locked edna rang the bell at,KateChopin,female,realism
47,back to the city that she saw so few people now that even victor when he came up from the island for a day or two had so much to occupy him and engage his time then it was that the youth went into contortions on the lounge and winked mischievously at edna she somehow felt like a confederate in crime and tried to look severe and disapproving there had been but two letters from robert with little in them they told her victor said it was really not worth while to go inside for the letters when his mother entreated him to go in search of them he remembered the contents which in truth he rattled off very glibly when put to the test one letter was written from vera cruz and the other from the city of mexico he had met montel who was doing everything toward his advancement,KateChopin,female,realism
48,dingy but as they were nearly always open it did not make so much difference they often admitted into the room a good deal of smoke and soot but at the same time all the light and air that there was came through them from her windows could be seen the crescent of the river the masts of ships and the big chimneys of the mississippi steamers a magnificent piano crowded the apartment in the next room she slept and in the third and last she harbored a gasoline stove on which she cooked her meals when disinclined to descend to the neighboring restaurant it was there also that she ate keeping her belongings in a rare old buffet dingy and battered from a hundred years of use when edna knocked at mademoiselle reiszs front room door and entered she discovered that person standing beside the window engaged in mending or,KateChopin,female,realism
49,to her my friend yes your friend robert he wrote to me from the city of mexico wrote to you repeated edna in amazement stirring her coffee absently yes to me why not dont stir all the warmth out of your coffee drink it though the letter might as well have been sent to you it was nothing but mrs pontellier from beginning to end let me see it requested the young woman entreatingly no a letter concerns no one but the person who writes it and the one to whom it is written havent you just said it concerned me from beginning to end it was written about you not to you have you seen mrs pontellier how is she looking he asks as mrs pontellier says or as mrs pontellier once said if mrs pontellier should call upon you play for her that impromptu of chopins my favorite i,KateChopin,female,realism
50,mademoiselle smoothed the letter out restored it to the envelope and replaced it in the table drawer xxii one morning on his way into town mr pontellier stopped at the house of his old friend and family physician doctor mandelet the doctor was a semiretired physician resting as the saying is upon his laurels he bore a reputation for wisdom rather than skillleaving the active practice of medicine to his assistants and younger contemporariesand was much sought for in matters of consultation a few families united to him by bonds of friendship he still attended when they required the services of a physician the pontelliers were among these mr pontellier found the doctor reading at the open window of his study his house stood rather far back from the street in the center of a delightful garden so that it was quiet and peaceful at the old gentlemans study window he,KateChopin,female,realism
51,whole attitudetoward me and everybody and everythinghas changed you know i have a quick temper but i dont want to quarrel or be rude to a woman especially my wife yet im driven to it and feel like ten thousand devils after ive made a fool of myself shes making it devilishly uncomfortable for me he went on nervously shes got some sort of notion in her head concerning the eternal rights of women andyou understandwe meet in the morning at the breakfast table the old gentleman lifted his shaggy eyebrows protruded his thick nether lip and tapped the arms of his chair with his cushioned fingertips what have you been doing to her pontellier doing parbleu has she asked the doctor with a smile has she been associating of late with a circle of pseudointellectual womensuperspiritual superior beings my wife has been telling me about them thats the trouble broke,KateChopin,female,realism
52,bother her and dont let her bother you woman my dear friend is a very peculiar and delicate organisma sensitive and highly organized woman such as i know mrs pontellier to be is especially peculiar it would require an inspired psychologist to deal successfully with them and when ordinary fellows like you and me attempt to cope with their idiosyncrasies the result is bungling most women are moody and whimsical this is some passing whim of your wife due to some cause or causes which you and i neednt try to fathom but it will pass happily over especially if you let her alone send her around to see me oh i couldnt do that thered be no reason for it objected mr pontellier then ill go around and see her said the doctor ill drop in to dinner some evening en bon ami do by all means urged mr pontellier,KateChopin,female,realism
